#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
B009Holy5NT3,HolyFire,Lib1,9,CNF05NTP3,CNF05,5N,TP3,10/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,34,4.5,1,138.93,4.48,3.2,19,19,50,21.08,0.68
B010Holy5ET3,HolyFire,Lib1,10,CNF05ETP3,CNF05,5E,TP3,10/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,34,4.5,1,138.93,4.48,3.2,19,19,50,21.08,0.68
B011Holy5ST3,HolyFire,Lib1,11,CNF05STP3,CNF05,5S,TP3,10/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,8.25,1200,34,4.5,1,138.93,4.48,3.2,19,19,50,21.08,0.68
B012Holy5WT3,HolyFire,Lib1,12,CNF05WTP3,CNF05,5W,TP3,10/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,7.75,1200,34,4.5,1,138.93,4.48,3.2,19,19,50,21.08,0.68
B013Holy5NT4,HolyFire,Lib1,13,CNF05NTP4,CNF05,5N,TP4,11/19/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B014Holy5ET4,HolyFire,Lib1,14,CNF05ETP4,CNF05,5E,TP4,11/19/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B015Holy5ST4,HolyFire,Lib1,15,CNF05STP4,CNF05,5S,TP4,11/19/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,8.25,1200,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B016Holy5WT4,HolyFire,Lib1,16,CNF05WTP7,CNF05,5W,TP4,11/19/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,7.75,1200,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B017Holy5NT5,HolyFire,Lib1,17,CNF05NTP5,CNF05,5N,TP5,12/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B018Holy5ET5,HolyFire,Lib1,18,CNF05ETP5,CNF05,5E,TP5,12/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B019Holy5ST5,HolyFire,Lib1,19,CNF05STP5,CNF05,5S,TP5,12/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,8.25,1200,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B020Holy5WT5,HolyFire,Lib1,20,CNF05WTP5,CNF05,5W,TP5,12/17/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,7.75,1200,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B021Holy1ET6,HolyFire,Lib1,21,CNF01ETP6,CNF01,1E,TP6,1/22/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Low,1,1232,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B022Holy1WT6,HolyFire,Lib1,22,CNF01WTP6,CNF01,1W,TP6,1/22/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B023Holy1NT6,HolyFire,Lib1,23,CNF01NTP6,CNF01,1N,TP6,1/22/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7,1232,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B024Holy1ST6,HolyFire,Lib1,24,CNF01STP6,CNF01,1S,TP6,1/22/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B025Holy2ET6,HolyFire,Lib1,25,CNF02ETP6,CNF02,2E,TP6,1/22/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B026Holy2ST6,HolyFire,Lib1,26,CNF02STP6,CNF02,2S,TP6,1/22/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B027Holy2NT6,HolyFire,Lib1,27,CNF02NTP6,CNF02,2N,TP6,1/22/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B028Holy2WT6,HolyFire,Lib1,28,CNF02WTP6,CNF02,2W,TP6,1/22/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B029Holy3ST6,HolyFire,Lib1,29,CNF03STP6,CNF03,3S,TP6,1/22/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Low,1.3,1240,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
B030Holy3ET6,HolyFire,Lib1,30,CNF03ETP6,CNF03,3E,TP6,1/22/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,4,1240,131,18,4,91.46,3.05,4.4,12,11.4,54,147.83,4.93
