FungalSeqID,SiteId,SeqSampleNum,FireName,Library,Timepoint,Date,Latitude,Longitude,Elevation,Aspect,AspectDegrees,SampleType,SampleDepth,Plot,Subplot,Treatment,BAERsbs,AshSeverity,InitialAshDepth,TSFdays,TSFweeks,TSFmonths,AvgSolarRad,AvgWind,AvgAirTemp,AvgMeanFueTemp,AvgPerMeanHumid,TotPrecip,AvgPrecipitation
F009Holy5NT3,CNF5NT3,9,Holy,Lib1,T3,10/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5N,Burned,Moderate,High,5.5,34,4.5,1,4.48,3.2,18.9,19,50,21,0.679677419
F010Holy5ET3,CNF5ET3,10,Holy,Lib1,T3,10/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5E,Burned,Moderate,High,4.5,34,4.5,1,4.48,3.2,18.9,19,50,21,0.679677419
F011Holy5ST3,CNF5ST3,11,Holy,Lib1,T3,10/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5S,Burned,Moderate,High,8.3,34,4.5,1,4.48,3.2,18.9,19,50,21,0.679677419
F012Holy5WT3,CNF5WT3,12,Holy,Lib1,T3,10/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5W,Burned,Moderate,High,7.8,34,4.5,1,4.48,3.2,18.9,19,50,21,0.679677419
F013Holy5NT4,CNF5NT4,13,Holy,Lib1,T4,11/19/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5N,Burned,Moderate,High,5.5,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F014Holy5ET4,CNF5ET4,14,Holy,Lib1,T4,11/19/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5E,Burned,Moderate,High,4.5,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F015Holy5ST4,CNF5ST4,15,Holy,Lib1,T4,11/19/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5S,Burned,Moderate,High,8.3,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F016Holy5WT4,CNF5WT4,16,Holy,Lib1,T4,11/19/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5W,Burned,Moderate,High,7.8,67,9,2,3.62,4,15.7,15.3,41,59,1.972666667
F017Holy5NT5,CNF5NT5,17,Holy,Lib1,T5,12/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5N,Burned,Moderate,High,5.5,95,13,3,2.88,3.6,12,11.4,50,51,1.63
F018Holy5ET5,CNF5ET5,18,Holy,Lib1,T5,12/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5E,Burned,Moderate,High,4.5,95,13,3,2.88,3.6,12,11.4,50,51,1.63
F019Holy5ST5,CNF5ST5,19,Holy,Lib1,T5,12/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5S,Burned,Moderate,High,8.3,95,13,3,2.88,3.6,12,11.4,50,51,1.63
F020Holy5WT5,CNF5WT5,20,Holy,Lib1,T5,12/17/18,33.67808503,-117.457193,1195,West,260,Soil,10,CNF05,5W,Burned,Moderate,High,7.8,95,13,3,2.88,3.6,12,11.4,50,51,1.63
F021Holy1ET6,CNF1ET6,21,Holy,Lib1,T6,1/22/19,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1E,Burned,Moderate,Low,1,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F022Holy1WT6,CNF1WT6,22,Holy,Lib1,T6,1/22/19,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1W,Burned,Moderate,High,4,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F023Holy1NT6,CNF1NT6,23,Holy,Lib1,T6,1/22/19,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1N,Burned,Moderate,High,7,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F024Holy1ST6,CNF1ST6,24,Holy,Lib1,T6,1/22/19,33.69009898,-117.463133,1228,Sourh,200,Soil,10,CNF01,1S,Burned,Moderate,High,7.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F025Holy2ET6,CNF2ET6,25,Holy,Lib1,T6,1/22/19,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2E,Burned,Moderate,High,4,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
